	Neighborhood	Neighborhood Latitude	Neighborhood Longitude	Venue	Venue Latitude	Venue Longitude	Venue Category
0	Lefortovo District_OPS_20	55.766902	37.716896999999996	Комус	55.766754255575385	37.716922760009766	Paper / Office Supplies Store
1	Lefortovo District_OPS_20	55.766902	37.716896999999996	Музей истории Лефортово	55.76955743128865	37.710855127715085	History Museum
2	Lefortovo District_OPS_20	55.766902	37.716896999999996	Платформа «Сортировочная»	55.76337026519487	37.72038102735817	Train Station
3	Lefortovo District_OPS_20	55.766902	37.716896999999996	Пятерочка	55.768989525000116	37.71622532476978	Supermarket
4	Lefortovo District_OPS_20	55.766902	37.716896999999996	Пятёрочка	55.765892	37.710419	Supermarket
5	Lefortovo District_OPS_20	55.766902	37.716896999999996	Sult an Pepper	55.77032327095242	37.72102415709851	Mediterranean Restaurant
6	Lefortovo District_OPS_20	55.766902	37.716896999999996	Аптека на Ухтомке	55.77009327749834	37.7117688664485	Pharmacy
7	Lefortovo District_OPS_24	55.750886	37.717184	Рубикон Батут	55.74796938755557	37.71710894615777	Gym / Fitness Center
8	Lefortovo District_OPS_24	55.750886	37.717184	Факел	55.751531485891654	37.71628220701217	Movie Theater
9	Lefortovo District_OPS_24	55.750886	37.717184	The БОЧКА	55.749986564995936	37.71802539912411	Irish Pub
10	Lefortovo District_OPS_24	55.750886	37.717184	Цветы столицы	55.749582	37.718389	Flower Shop
11	Lefortovo District_OPS_24	55.750886	37.717184	Золотой дракон	55.75168687316258	37.71233986722843	Martial Arts Dojo
12	Lefortovo District_OPS_24	55.750886	37.717184	Sweet Epil	55.7491106332663	37.71565985485397	Health & Beauty Service
13	Lefortovo District_OPS_24	55.750886	37.717184	Мясная лавка Мираторг	55.7500983453269	37.7186286449432	Supermarket
14	Lefortovo District_OPS_24	55.750886	37.717184	ВкусВилл	55.7523237486571	37.716605181602276	Health Food Store
15	Lefortovo District_OPS_24	55.750886	37.717184	Хинкальная Гогиели	55.749526107456944	37.71843634433767	Caucasian Restaurant
16	Lefortovo District_OPS_24	55.750886	37.717184	Virtuality Club	55.754683233012926	37.71886457081726	Arcade
17	Lefortovo District_OPS_24	55.750886	37.717184	Pit Stop	55.75133877896967	37.71771538532976	Coffee Shop
18	Lefortovo District_OPS_24	55.750886	37.717184	Дайв-клуб «Альтернатива»	55.74788990062223	37.71561576166893	Dive Spot
19	Lefortovo District_OPS_24	55.750886	37.717184	"Банкет-холл ""Лефорт"""	55.74806570701748	37.71661013271669	Other Nightlife
20	Lefortovo District_OPS_24	55.750886	37.717184	Hesburger	55.75331777948853	37.716495388625695	Burger Joint
21	Lefortovo District_OPS_24	55.750886	37.717184	ДжонДжоли	55.75136713131689	37.716246198998675	Caucasian Restaurant
22	Lefortovo District_OPS_24	55.750886	37.717184	Сквер им. Калинина	55.75262828022468	37.71728754043579	Park
23	Lefortovo District_OPS_24	55.750886	37.717184	Физкультурно-оздоровительный центр Wellness & Spa	55.749196872688856	37.71145046173451	Gym / Fitness Center
24	Lefortovo District_OPS_24	55.750886	37.717184	МТС	55.75125294779483	37.71662234312764	Mobile Phone Shop
25	Lefortovo District_OPS_24	55.750886	37.717184	X-Fit	55.754160517736	37.71543900602148	Gym / Fitness Center
26	Lefortovo District_OPS_24	55.750886	37.717184	Якитория	55.75357930036507	37.715928250176745	Sushi Restaurant
27	Lefortovo District_OPS_24	55.750886	37.717184	Караван	55.748175105423435	37.716836912277415	Japanese Restaurant
28	Lefortovo District_OPS_24	55.750886	37.717184	Пиво? Пиво!	55.74844666318636	37.71934945211387	Liquor Store
29	Lefortovo District_OPS_24	55.750886	37.717184	Теремок	55.753311892262495	37.71603176179658	Blini House
30	Lefortovo District_OPS_24	55.750886	37.717184	Пятерочка	55.749336	37.717983	Supermarket
31	Lefortovo District_OPS_24	55.750886	37.717184	Дикси	55.75017222465547	37.71809028027669	Convenience Store
32	Lefortovo District_OPS_24	55.750886	37.717184	Батут Сити	55.748075658809036	37.7165671306917	Track
33	Lefortovo District_OPS_24	55.750886	37.717184	KFC	55.75128312660576	37.71563439056633	Wings Joint
34	Lefortovo District_OPS_24	55.750886	37.717184	Pizza Hut	55.75334930323122	37.712705593513554	Pizza Place
35	Lefortovo District_OPS_24	55.750886	37.717184	Cinnabon	55.753349628867745	37.71639539862185	Bakery
36	Lefortovo District_OPS_24	55.750886	37.717184	Интеррадиоприбор	55.752300758696435	37.712966088654426	Electronics Store
37	Lefortovo District_OPS_33	55.758889	37.687112	Красноказарменная площадь	55.75987934751879	37.686324822215546	Plaza
38	Lefortovo District_OPS_33	55.758889	37.687112	"Фитнес-клуб ""Онегинъ"""	55.76143247885838	37.68329028295029	Gym / Fitness Center
39	Lefortovo District_OPS_33	55.758889	37.687112	FitFashion Бассейн	55.76069292168694	37.68321476324676	Gym Pool
40	Lefortovo District_OPS_33	55.758889	37.687112	FitFashion	55.761173052528456	37.682708908897425	Gym / Fitness Center
41	Lefortovo District_OPS_33	55.758889	37.687112	Кафе Поварская лавка	55.761279538227086	37.68364191055298	Café
42	Lefortovo District_OPS_33	55.758889	37.687112	Todes	55.761523493076574	37.68316721489053	Dance Studio
43	Lefortovo District_OPS_33	55.758889	37.687112	Перекресток	55.756422	37.681631	Supermarket
44	Lefortovo District_OPS_33	55.758889	37.687112	Тарас Бульба	55.758657665135225	37.694846699298544	Ukrainian Restaurant
45	Lefortovo District_OPS_33	55.758889	37.687112	Up&Fly	55.75517578057515	37.68681158709611	Gymnastics Gym
46	Lefortovo District_OPS_33	55.758889	37.687112	Svalka.me	55.755512	37.684452	Flea Market
47	Lefortovo District_OPS_33	55.758889	37.687112	FitКафе	55.76088968789014	37.682529288397134	Juice Bar
48	Lefortovo District_OPS_33	55.758889	37.687112	BOWL&DINER	55.760755357751904	37.68172198156617	Diner
49	Lefortovo District_OPS_33	55.758889	37.687112	Cтарый дом	55.76078336437228	37.68701158531372	Bar
50	Lefortovo District_OPS_33	55.758889	37.687112	Отель «Лефортово»	55.75814910570585	37.68985920118045	Hotel
51	Lefortovo District_OPS_33	55.758889	37.687112	АндерСон	55.76160849178692	37.68395113635155	Cupcake Shop
52	Lefortovo District_OPS_33	55.758889	37.687112	ТУ-15	55.76076671074106	37.681648720947216	Bowling Alley
