ShortName,PostalCode,AdmArea,District,Longitude,Latitude
OPS_20,111020,South-Eastern Administrative Okrug,Lefortovo District,37.716897,55.766902
OPS_24,111024,South-Eastern Administrative Okrug,Lefortovo District,37.717184,55.750886
OPS_33,111033,South-Eastern Administrative Okrug,Lefortovo District,37.687112,55.758889
OPS_52,109052,South-Eastern Administrative Okrug,Nizhegorodsky District,37.721188,55.730655
OPS_88,115088,South-Eastern Administrative Okrug,Yuzhnoportovy District,37.676188,55.716392
OPS_94,105094,South-Eastern Administrative Okrug,Lefortovo District,37.705207,55.774971
OPS_116,111116,South-Eastern Administrative Okrug,Lefortovo District,37.713793,55.757716
OPS_117,109117,South-Eastern Administrative Okrug,Kuzminki District,37.755294,55.711558
OPS_125,109125,South-Eastern Administrative Okrug,Tekstilshchiki District,37.744124,55.712107
OPS_129,109129,South-Eastern Administrative Okrug,Tekstilshchiki District,37.743256,55.704555
OPS_144,109144,South-Eastern Administrative Okrug,Maryino District,37.737567,55.646297
OPS_145,109145,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.842421,55.699512
OPS_153,109153,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.854432,55.69918
OPS_156,109156,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.854647,55.689681
OPS_202,109202,South-Eastern Administrative Okrug,Nizhegorodsky District,37.752902,55.736268
OPS_229,105229,South-Eastern Administrative Okrug,Lefortovo District,37.706777,55.772342
OPS_235,109235,South-Eastern Administrative Okrug,Pechatniki District,37.701454,55.654217
OPS_250,111250,South-Eastern Administrative Okrug,Lefortovo District,37.697742,55.758164
OPS_263,109263,South-Eastern Administrative Okrug,Tekstilshchiki District,37.746531,55.69867
OPS_341,109341,South-Eastern Administrative Okrug,Maryino District,37.748041,55.658006
OPS_369,109369,South-Eastern Administrative Okrug,Maryino District,37.731223,55.651824
OPS_377,109377,South-Eastern Administrative Okrug,Ryazansky District,37.789442,55.715121
OPS_378,109378,South-Eastern Administrative Okrug,Kuzminki District,37.781858,55.707734
OPS_380,109380,South-Eastern Administrative Okrug,Lyublino District,37.810454,55.673368
OPS_382,109382,South-Eastern Administrative Okrug,Lyublino District,37.740573,55.672172
OPS_383,109383,South-Eastern Administrative Okrug,Pechatniki District,37.721765,55.673078
OPS_384,109384,South-Eastern Administrative Okrug,Lyublino District,37.776422,55.679066
OPS_386,109386,South-Eastern Administrative Okrug,Lyublino District,37.759394,55.679189
OPS_387,109387,South-Eastern Administrative Okrug,Lyublino District,37.738899,55.682897
OPS_388,109388,South-Eastern Administrative Okrug,Pechatniki District,37.72624,55.679596
OPS_389,109389,South-Eastern Administrative Okrug,Pechatniki District,37.717033,55.680131
OPS_390,109390,South-Eastern Administrative Okrug,Tekstilshchiki District,37.736062,55.699592
OPS_391,109391,South-Eastern Administrative Okrug,Nizhegorodsky District,37.749364,55.731236
OPS_417,109417,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.82572,55.708493
OPS_428,109428,South-Eastern Administrative Okrug,Ryazansky District,37.780064,55.723722
OPS_429,109429,South-Eastern Administrative Okrug,Kapotnya District,37.801711,55.634246
OPS_431,109431,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.850475,55.685988
OPS_432,115432,South-Eastern Administrative Okrug,Yuzhnoportovy District,37.672776,55.703189
OPS_439,109439,South-Eastern Administrative Okrug,Kuzminki District,37.781148,55.702855
OPS_443,109443,South-Eastern Administrative Okrug,Kuzminki District,37.769198,55.704431
OPS_444,109444,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.817886,55.70397
OPS_451,109451,South-Eastern Administrative Okrug,Maryino District,37.759592,55.659505
OPS_456,109456,South-Eastern Administrative Okrug,Ryazansky District,37.78601,55.718949
OPS_457,109457,South-Eastern Administrative Okrug,Kuzminki District,37.773155,55.711495
OPS_462,109462,South-Eastern Administrative Okrug,Kuzminki District,37.762494,55.701718
OPS_469,109469,South-Eastern Administrative Okrug,Maryino District,37.763581,55.654143
OPS_472,109472,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.803088,55.69485
OPS_507,109507,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.817304,55.694053
OPS_518,109518,South-Eastern Administrative Okrug,Tekstilshchiki District,37.732725,55.719273
OPS_542,109542,South-Eastern Administrative Okrug,Vykhino-Zhulebino District,37.808859,55.714755
OPS_548,109548,South-Eastern Administrative Okrug,Pechatniki District,37.719664,55.693651
OPS_559,109559,South-Eastern Administrative Okrug,Lyublino District,37.76326,55.677403
OPS_649,109649,South-Eastern Administrative Okrug,Kapotnya District,37.798656,55.630564
OPS_651,109651,South-Eastern Administrative Okrug,Maryino District,37.720248,55.64764
OPS_652,109652,South-Eastern Administrative Okrug,Maryino District,37.749052,55.651113
OPS_674,111674,South-Eastern Administrative Okrug,Nekrasovka District,37.926576,55.683134
