PostalCode,Latitude,Longitude,Borough,Neighborhood
101000,55.7616,37.6411,South-Eastern,Lyublino
101001,55.76441,37.6366,Central,Meshchansky
103070,55.73209,37.57344,Central,Tverskoy
103132,55.73209,37.57344,Central,Tverskoy
103265,55.73209,37.57344,Central,Tverskoy
103274,55.73209,37.57344,Central,Presnensky
103426,55.73209,37.57344,Central,Tverskoy
105005,55.72845,37.66149,Southern,Nagatino-Sadovniki
105037,55.78986,37.7731,Eastern,Izmaylovo
105043,55.7926,37.79125,Eastern,Izmaylovo
105062,55.75985,37.65025,Central,Basmanny
105064,55.75963,37.666,Central,Tagansky
105066,55.77056,37.66904,South-Eastern,Lyublino
105077,55.79811,37.80923,Eastern,Izmaylovo
105082,55.77543,37.68784,South-Eastern,Lyublino
105094,55.7763,37.7075,Central,Basmanny
105118,55.76752,37.73323,Eastern,Sokolniki
105120,55.75313,37.67108,South-Eastern,Lyublino
105122,55.80395,37.76177,Eastern,Severnoye Izmaylovo
105173,55.81505,37.86817,Eastern,Vostochny
105175,55.73209,37.57344,Central,Basmanny
105187,55.87241,37.54047,South-Eastern,Lyublino
105203,55.7919,37.8143,Eastern,Severnoye Izmaylovo
105215,55.8052,37.79977,Eastern,Severnoye Izmaylovo
105229,55.73209,37.57344,Central,Basmanny
105264,55.7985,37.79364,Eastern,Severnoye Izmaylovo
105275,55.77634,37.73798,Eastern,Sokolinaya gora
105318,55.78379,37.72767,Eastern,Sokolinaya gora
105425,55.80363,37.78517,Eastern,Severnoye Izmaylovo
105484,55.80355,37.82316,Eastern,Severnoye Izmaylovo
105523,55.80909,37.82455,Eastern,Severnoye Izmaylovo
105554,55.78966,37.80294,Eastern,Izmaylovo
105568,55.77787,37.82935,Eastern,Ivanovskoye
105679,55.73209,37.57344,Eastern,Sokolinaya gora
107014,55.80112,37.6758,North-Eastern,Ostankinsky
107016,55.73209,37.57344,Central,Meshchansky
107023,55.78614,37.70903,South-Eastern,Lyublino
107031,55.76423,37.62128,Central,Tverskoy
107045,55.77057,37.63195,South-Eastern,Lyublino
107061,55.79496,37.71988,Eastern,Preobrazhenskoye
107065,55.82589,37.81509,Eastern,Golyanovo
107076,55.80001,37.70038,South-Eastern,Lyublino
107078,55.76962,37.64703,South-Eastern,Lyublino
107113,55.69504,37.68469,Central,Krasnoselsky
107139,55.77006,37.646,Central,Krasnoselsky
107140,55.78143,37.66327,South-Eastern,Lyublino
107143,55.82008,37.75316,South-Eastern,Lyublino
107150,55.81808,37.72363,Eastern,Metrogorodok
107174,55.73209,37.57344,Central,Basmanny
107207,55.81614,37.8076,Eastern,Golyanovo
107217,55.77035,37.64973,Central,Krasnoselsky
107228,55.73209,37.57344,Central,Krasnoselsky
107241,55.81619,37.77485,Eastern,Golyanovo
107258,55.8116,37.71158,Eastern,Bogorodskoye
107370,55.80822,37.72566,South-Eastern,Lyublino
107392,55.80291,37.7248,Eastern,Preobrazhenskoye
107450,55.73209,37.57344,Central,Krasnoselsky
107497,55.8156,37.79503,South-Eastern,Lyublino
107553,55.80403,37.75636,Eastern,Sokolinaya gora
107564,55.82036,37.69513,South-Eastern,Lyublino
107589,55.82149,37.82423,Eastern,Golyanovo
109004,55.74439,37.65974,Central,Tverskoy
109012,55.75869,37.62198,South-Eastern,Lyublino
109028,55.74637,37.64535,South-Eastern,Lyublino
109029,55.73345,37.69157,South-Eastern,Ryazansky
109044,55.72989,37.66449,South-Eastern,Yuzhnoportovy
109052,55.73245,37.73928,South-Eastern,Tekstilshchiki
109074,55.75227,37.63451,Central,Tagansky
109097,55.75811,37.62415,Central,Tverskoy
109117,55.73209,37.57344,South-Eastern,Ryazansky
109125,55.71123,37.74636,South-Eastern,Tekstilshchiki
109129,55.70396,37.74196,South-Eastern,Tekstilshchiki
109144,55.64628,37.74356,South-Eastern,Maryino
109145,55.70102,37.84614,South-Eastern,Lyublino
109147,55.73652,37.6677,Central,Tagansky
109153,55.69357,37.85408,South-Eastern,Vykhino-Zhulebino
109156,55.68833,37.85623,South-Eastern,Vykhino-Zhulebino
109180,55.73209,37.57344,Central,Yakimanka
109189,55.73209,37.57344,Central,Tagansky
109202,55.73653,37.74572,South-Eastern,Nizhegorodsky
109235,55.65733,37.69713,South-Eastern,Pechatniki
109240,55.75066,37.55308,Central,Tverskoy
109263,55.69682,37.74499,South-Eastern,Tekstilshchiki
109289,55.73209,37.57344,Central,Tverskoy
109316,55.72017,37.70475,South-Eastern,Yuzhnoportovy
109341,55.65734,37.77212,South-Eastern,Maryino
109369,55.65095,37.73614,South-Eastern,Maryino
109377,55.71366,37.78934,South-Eastern,Ryazansky
109378,55.70595,37.7812,South-Eastern,Ryazansky
109382,55.66769,37.74512,South-Eastern,Maryino
109383,55.66874,37.71285,South-Eastern,Pechatniki
109387,55.67104,37.76204,South-Eastern,Tekstilshchiki
109388,55.68359,37.72503,South-Eastern,Pechatniki
109390,55.69901,37.73705,South-Eastern,Tekstilshchiki
109391,55.73209,37.57344,South-Eastern,Nizhegorodsky
109428,55.72405,37.76703,South-Eastern,Ryazansky
109429,55.64272,37.80046,South-Eastern,Maryino
109431,55.67958,37.85416,South-Eastern,Vykhino-Zhulebino
109439,55.69997,37.78456,South-Eastern,Kuzminki
109443,55.70334,37.76716,South-Eastern,Ryazansky
109444,55.70575,37.81301,South-Eastern,Vykhino-Zhulebino
109451,55.66024,37.76149,South-Eastern,Pechatniki
109456,55.72167,37.78327,South-Eastern,Ryazansky
109457,55.71209,37.7714,South-Eastern,Ryazansky
109462,55.70045,37.75548,South-Eastern,Tekstilshchiki
109469,55.6576,37.77162,South-Eastern,Maryino
109472,55.69436,37.78929,South-Eastern,Lyublino
109507,55.69859,37.82009,South-Eastern,Vykhino-Zhulebino
109518,55.72072,37.73539,South-Eastern,Tekstilshchiki
109542,55.71376,37.81472,South-Eastern,Ryazansky
109544,55.74234,37.68361,South-Eastern,Lyublino
109548,55.69379,37.71557,South-Eastern,Pechatniki
109559,55.67374,37.77654,South-Eastern,Kapotnya
109649,55.73209,37.57344,South-Eastern,Kapotnya
109651,55.65308,37.72482,South-Eastern,Maryino
109652,55.6486,37.75471,South-Eastern,Tekstilshchiki
111020,55.76725,37.70868,South-Eastern,Lefortovo
111024,55.74793,37.72375,South-Eastern,Nizhegorodsky
111033,55.75415,37.68683,South-Eastern,Lyublino
111116,55.75705,37.70867,South-Eastern,Lefortovo
111123,55.76187,37.77626,Eastern,Sokolinaya gora
111141,55.74795,37.76979,Eastern,Perovo
111250,55.75946,37.69936,South-Eastern,Lefortovo
111394,55.74717,37.79993,Eastern,Perovo
111395,55.72557,37.80578,Eastern,Novogireyevo
111396,55.7483,37.8162,South-Eastern,Lyublino
111397,55.7503,37.79554,Eastern,Perovo
111398,55.74036,37.76977,South-Eastern,Nizhegorodsky
111399,55.75779,37.80182,Eastern,Perovo
111401,55.75557,37.78302,Eastern,Perovo
111402,55.73971,37.805,Eastern,Novokosino
111524,55.75,37.75489,Eastern,Perovo
111531,55.77014,37.82948,Eastern,Ivanovskoye
