Okrug,District,Latitude,Longitude
Northern Administrative Okrug,Levoberezhny District,55.8656626,37.4658588155736
Northern Administrative Okrug,Khovrino District,55.8693575,37.4887954
Northern Administrative Okrug,Zapadnoye Degunino District,55.87054815,37.5208039461823
Northern Administrative Okrug,Timiryazevsky District,55.8258166,37.5577439
Northern Administrative Okrug,Koptevo District,55.8300649,37.5217381248869
Northern Administrative Okrug,Dmitrovsky District,55.8899165,37.5256046222707
Northern Administrative Okrug,Sokol District,55.8034628,37.5078250572728
Northern Administrative Okrug,Savyolovsky District,55.7997689,37.5708333
Northern Administrative Okrug,Vostochnoye Degunino District,55.87587205,37.5632948148087
Northern Administrative Okrug,Golovinsky District,55.85195185,37.5223650812373
Northern Administrative Okrug,Begovoy District,55.783368,37.5652471856151
Northern Administrative Okrug,Khoroshyovsky District,55.7789309,37.5271723
Northern Administrative Okrug,Voykovsky District,55.8279165,37.4956911551468
Northern Administrative Okrug,Aeroport District,55.80050395,37.5438640931753
Northern Administrative Okrug,Beskudnikovsky District,55.8637386,37.5573216519805
Western Administrative Okrug,Kuntsevo District,55.7865494,37.3390465365499
Western Administrative Okrug,Krylatskoye District,55.76128705,37.4259337452288
Western Administrative Okrug,Fili-Davydkovo District,55.7288995,37.4673379
Western Administrative Okrug,Filyovsky Park District,55.7470546,37.4921813
Western Administrative Okrug,Dorogomilovo District,55.7382824,37.5381953869891
Western Administrative Okrug,Ramenki District,55.7018348,37.5041069
Western Administrative Okrug,Solntsevo District,55.65443845,37.3925739446002
Western Administrative Okrug,Novo-Peredelkino District,55.6460967,37.3531169940678
Western Administrative Okrug,Mozhaysky District,55.7031183,37.3969887359406
Western Administrative Okrug,Prospekt Vernadskogo District,55.6754152,37.5003302307977
Western Administrative Okrug,Troparyovo-Nikulino District,55.6603217,37.4682226
Western Administrative Okrug,Ochakovo-Matveyevskoye District,55.6921051,37.4401918533784
North-Western Administrative Okrug,Khoroshyovo-Mnyovniki District,55.7787568,37.4800743
North-Western Administrative Okrug,Shchukino District,55.8005723,37.4730552
North-Western Administrative Okrug,Strogino District,55.8013351,37.4030525
North-Western Administrative Okrug,Mitino District,55.844547,37.3686056112712
North-Western Administrative Okrug,Kurkino District,55.89190725,37.3901055013841
North-Western Administrative Okrug,North Tushino District,55.8636562,37.4282261452447
North-Western Administrative Okrug,Yuzhnoye Tushino District,55.8438581,37.4315406
North-Western Administrative Okrug,Pokrovskoye-Streshnevo District,55.8250254,37.4504005534545
North-Eastern Administrative Okrug,Otradnoye District,55.8634221,37.6038024291443
North-Eastern Administrative Okrug,Severny District,55.9325549,37.543501641492
North-Eastern Administrative Okrug,Altufyevsky District,55.8786951,37.5867697081122
North-Eastern Administrative Okrug,Lianozovo District,55.9001565,37.5662792347502
North-Eastern Administrative Okrug,Bibirevo District,55.89531865,37.6129889100404
